Row_ID;Sex;How satisfied are you with the amount of space allocated to you and your family in the camp?;How satisfied are you with the level of hygiene and sanitation in the camp?;Do you think there are enough healthcare facilities for Rohingya (like aid station, health centre, hospital)?;How satisfied are you with the quality of healthcare you and your family are receiving in the camp?;How satisfied are you with the level of psychological support you and your family are receiving in the camp?;How satisfied are you with the level of social support you and your family receive from neighbours and friends?;Do you think you are able to exercise your religion freely in the camp?;How satisfied are you with the number of religious facilities (like madrasas, mosques) in the camp?;Do you think there are enough educational opportunities for Rohingya children below the age of 12 in the camp?;Do you think there are enough educational opportunities for Rohingya adolescents (between 12 and 18 years old) in the camp?;Do you think there are enough educational opportunities for Rohingya adults (older than 18 years old) in the camp?;How satisfied are you with the quality of education you and your family are receiving in the camp?;How satisfied are you with the number of job opportunities available to Rohingya adults in the camp?;How satisfied are you with the income your family makes in the camp?;How satisfied are you with the overall help you and your family have been receiving from NGOs?;How do you mostly hear about the news?;Who do you consider the most important person in your camp?;Other than family, who do you go to when you have a problem?;Do you have enough good friends in the camp?;Do you consider any Bangladeshis as your friends?;Do you believe Rohingya and Bangladeshis can be good friends?;Do you think that there are Rohingya families who have married their daughter off to Bangladeshi boys/men?;Do you personally know any Rohingya family who has married their daughter off to a Bangladeshi boy/man?;How much do you trust the police/military/guards of camps in Bangladesh?;How much do you trust the NGOs in the camp?;How much do you trust the Majhis?;How much do you trust the Imam (religious leader)?;How often do you talk with Rohingya people outside Bangladesh and Myanmar?;In what countries are they now?;How often do you talk with others (non-Rohingya people) outside Bangladesh and Myanmar?;In what countries are they now?;Do you often feel stressed or overwhelmed by your situation?;Do you prefer talking about your problems with others or trying to forget what you are going through?;Do you prefer solving your problems alone or by asking others for their help?;Does talking about your every day problems with others make you feel better?;How comfortable do you feel talking about your problems with NGO workers?;Do you think the situation in the camp is better now or 6 months ago?;Do you smoke cigarettes?;How many cigarettes a day on average?;Did you also smoke before coming to Bangladesh?;Do you chew betel nuts?;How many betel nuts a day on average?;Did you also chew before coming to Bangladesh?;Do you think that there are Rohingya in the camp who use medicine or drink syrup often without needing it?;Have you  ever seen any Rohingya in the camp use medicine or syrup often without needing it?;Do you think that there are Rohingya in the camp who use illegal substances (like alcohol or drugs)?;Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?;Do you think that there are Rohingya in the camp who are involved in illegal activities (like selling/transporting drinks or yaba)?;How often do you hear people talking about violent groups in the camp?;How do you think violence in the camp has changed over time?;Do you think that sexual harassment in the camp happens often?;Where does sexual harassment happen the most?;How afraid are you to leave your child unattended in the camp after it gets dark?;Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?;Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?;To what extent do you feel at home in the camp in Bangladesh now?;Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?;Are you willing to go?;Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?;If the Myanmar government recognizes the rights of Rohingya in the next two years, will you return to Myanmar?;Do you think that repatriation to Myanmar will happen in the next two years?;Do you personally know any Rohingya who left Bangladesh in the last six months?;Where did they go?;Have you thought about leaving to go to another country other than Myanmar and Bangladesh?;How scared are you to leave for another country?;Where do you think you will be in six months from now?;If you could choose any country in the world, other than Myanmar, where would you go?;Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?;How do you feel about the future?
11584;Female;Unsatisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;No;Yes;No;;Quite a bit of trust;Neither trust nor distrust;Quite a bit of trust;A lot of trust;Once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;No;Neither comfortable nor uncomfortable;same-nothing has changed;No;;;Yes;5;Yes;N/A;;N/A;;N/A;A few times a month;Decreased;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;Yes;Malaysia;Yes;very scared;Can't imagine/I am not sure where I will be;Canada;USA;positive
11585;Female;Unsatisfied;Satisfied;Yes;Neither satisfied nor unsatisfied;Satisfied;Unsatisfied;Yes;Very satisfied;Yes;Yes;No;Neither satisfied nor unsatisfied;Unsatisfied;Unsatisfied;Unsatisfied;Friends and neighbours;CIC;Head Majhi;Yes;Yes;Yes;Yes;N/A;Quite a bit of trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Three times a month;Saudi Arabia;Never;;Yes;trying to forget;I ask for help;Yes;Neither comfortable nor uncomfortable;now;No;;;Yes;10;Yes;N/A;;N/A;;N/A;A few times a month;Decreased;I don't want to answer;;Very afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;No;very scared;Can't imagine/I am not sure where I will be;Saudi Arabia;Canada;N/A
11586;Female;Satisfied;Unsatisfied;Yes;Unsatisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Neither satisfied nor unsatisfied;Very unsatisfied;Very unsatisfied;Unsatisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;No;Yes;No;;Little trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;talking;I solve my problems myself;Yes;Comfortable enough;same-nothing has changed;No;;;Yes;3;Yes;No;;N/A;;N/A;Never;Same;No;;Very afraid;Yes;Yes;Very little;Yes;No;No;Yes;No;Yes;Malaysia;No;very scared;Can't imagine/I am not sure where I will be;Australia;Canada;positive
11587;Female;Unsatisfied;Neither satisfied nor unsatisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Unsatisfied;Unsatisfied;Very unsatisfied;Unsatisfied;Friends and neighbours;CIC;N/A;Yes;Yes;Yes;No;;Little trust;Quite a bit of trust;Quite a bit of trust;A lot of trust;Never;;Never;;Yes;trying to forget;I ask for help;No;Neither comfortable nor uncomfortable;same-nothing has changed;No;;;Yes;20;No;N/A;;Yes;Yes;N/A;A few times a month;Decreased a lot;I don't want to answer;;Very afraid;Yes;Yes;Very little;Yes;No;No;Yes;No;No;;Yes;very scared;Here, in the camp;Pakistan;Australia;positive
11590;Female;Satisfied;Satisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Very unsatisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Satisfied;Friends and neighbours;CIC;Block Majhi;Yes;Yes;Yes;No;;Quite a bit of trust;Quite a bit of trust;Little trust;A lot of trust;Never;;Never;;No;trying to forget;I solve my problems myself;Yes;Very comfortable;same-nothing has changed;No;;;Yes;7;Yes;N/A;;N/A;;N/A;A few times a week;Same;No;;Not afraid;Yes;No;Not at all;No;;No;Yes;No;No;;No;very scared;Can't imagine/I am not sure where I will be;I don't want to go anywhere else.;I don't know about the majority;neither positive nor negative
11591;Female;Satisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Very satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Satisfied;Very unsatisfied;Satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;six months ago;No;;;No;;;N/A;;No;;N/A;A few times a week;Decreased;No;;Afraid;Yes;No;Very little;Yes;No;No;Yes;No;No;;Yes;very scared;Can't imagine/I am not sure where I will be;Saudi Arabia;No reply/No comment;very positive
11592;Female;Satisfied;Unsatisfied;Yes;Unsatisfied;Unsatisfied;Satisfied;Yes;Satisfied;Yes;No;No;Unsatisfied;Satisfied;Unsatisfied;Satisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;Yes;No;No trust at all;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Comfortable enough;same-nothing has changed;No;;;No;;;N/A;;N/A;;N/A;Never;Same;No;;Afraid;Yes;No;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Can't imagine/I am not sure where I will be;What ever the government wants.;I don't know about the majority;negative
11599;Female;Satisfied;Satisfied;Yes;Unsatisfied;Neither satisfied nor unsatisfied;Satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Very satisfied;Unsatisfied;Very satisfied;Social media (e.g. Facebook, Twitter, Instagram);CIC;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Little trust;A lot of trust;Never;;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;N/A;;N/A;;N/A;A few times a year;Decreased;No;;I don't have children - does not apply;No;;Not at all;Yes;No;No;Yes;No;No;;No;scared;Can't imagine/I am not sure where I will be;USA;I don't know about the majority;negative
11601;Female;Satisfied;Unsatisfied;Yes;Unsatisfied;Satisfied;Very satisfied;Yes;Very satisfied;Yes;No;No;Satisfied;Neither satisfied nor unsatisfied;Unsatisfied;Very unsatisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Quite a bit of trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;trying to forget;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;No;;;N/A;;N/A;;N/A;A few times a month;Same;I don't want to answer;;Very afraid;No;;Not at all;Yes;No;No;Yes;No;No;;No;very scared;Can't imagine/I am not sure where I will be;USA;USA;positive
11603;Female;Satisfied;Satisfied;Yes;Unsatisfied;Neither satisfied nor unsatisfied;Satisfied;Yes;Very unsatisfied;Yes;No;No;Unsatisfied;Unsatisfied;Unsatisfied;Very satisfied;Friends and neighbours;Block Mahji;Block Majhi;Yes;Yes;Yes;No;;A lot of trust;A lot of trust;Little trust;A lot of trust;More than once a week;Malaysia;Never;;Yes;talking;I ask for help;Yes;Very comfortable;same-nothing has changed;No;;;Yes;3;No;N/A;;N/A;;N/A;Never;Same;No;;Very afraid;No;;Very little;Yes;No;No;Yes;No;No;;No;very scared;Can't imagine/I am not sure where I will be;Canada;Canada;positive
